cell	CL:0000000
CD34-positive, CD38-positive eosinophil progenitor cell	CL:0002008
macrophage dendritic cell progenitor	CL:0002009
MDP	CL:0002009
DC Precursors	CL:0002009
MDPs	CL:0002009
monocyte-macrophage DC progenitors	CL:0002009
monocyte-dendritic progenitor	CL:0002009
monocyte-dendritic progenitors	CL:0002009
pre-conventional dendritic cell	CL:0002010
pre-cDCs	CL:0002010
pre-cDC	CL:0002010
DC HPC	CL:0002010
dendritic cell-biased precursors	CL:0002010
Kit-positive macrophage dendritic cell progenitor	CL:0002011
murine MDP	CL:0002011
Kit-low proerythroblast	CL:0002012
GlyA-positive basophilic erythroblast	CL:0002013
Kit-negative, Ly-76 high basophilic erythroblast	CL:0002014
Kit-negative, Ly-76 high polychromatophilic erythroblast	CL:0002015
CD71-low, GlyA-positive polychromatic erythroblast	CL:0002016
Kit-negative, Ly-76 high orthochromatophilic erythroblasts	CL:0002017
CD71-negative, GlyA-positive orthochromatic erythroblast	CL:0002018
Ly-76 high reticulocyte	CL:0002019
GlyA-positive reticulocytes	CL:0002020
GlyA-positive erythrocyte	CL:0002021
Ly-76 high positive erythrocyte	CL:0002022
CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell	CL:0002023
Kit-positive megakaryocyte progenitor cell	CL:0002024
CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell	CL:0002025
CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	CL:0002026
CD9-positive, CD41-positive megakaryocyte cell	CL:0002027
basophil mast progenitor cell	CL:0002028
BMCP	CL:0002028
Fc-epsilon RIalpha-low mast cell progenitor	CL:0002029
Fc-epsilon RIalpha-high basophil progenitor cell	CL:0002030
hematopoietic lineage restricted progenitor cell	CL:0002031
progenitors	CL:0002031
hematopoietic oligopotent progenitor cell	CL:0002032
progenitors	CL:0002032
progenitor cell	CL:0002032
short term hematopoietic stem cell	CL:0002033
ST-HSC	CL:0002033
ST stem cell	CL:0002033
short-term hematopoietic stem cell	CL:0002033
short-term HSC	CL:0002033
short-term (ST) HSCs	CL:0002033
long term hematopoietic stem cell	CL:0002034
LT stem cell	CL:0002034
LT-HSC	CL:0002034
LT-HSCs	CL:0002034
long-term hematopoietic stem cell	CL:0002034
long-term HSC	CL:0002034
Slamf1-negative multipotent progenitor cell	CL:0002035
Slamf1-positive multipotent progenitor cell	CL:0002036
KSL cell	CL:0002036
CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell	CL:0002037
memory alpha beta IEL	CL:0002037
T follicular helper cell	CL:0002038
T(FH)	CL:0002038
Tfh	CL:0002038
follicular helper T cells	CL:0002038
CD4+ PD1hi Tfh cells	CL:0002038
follicular T helper lymphocytes	CL:0002038
B and Tfh lymphocytes	CL:0002038
central memory (Tcm), effector memory (Tem), and T follicular helper (Tfh) cells	CL:0002038
follicular helper T-cells	CL:0002038
T follicular helper (Tfh) cells	CL:0002038
follicular B helper T cell	CL:0002038
follicular Th	CL:0002038
CD4+ follicular helper T (TFH) cell	CL:0002038
TFH cells	CL:0002038
T cells follicular helper	CL:0002038
follicular T cells	CL:0002038
circulating follicular T (cTfh) cells	CL:0002038
cTfh cells	CL:0002038
cTfh cell	CL:0002038
naive-like, activated, follicular helper, and regulatory CD4+ T cells	CL:0002038
CD4+ regulatory and follicular helper T cells	CL:0002038
CD4 T follicular helper (TFH) cells	CL:0002038
T-Follicular Helper Cells	CL:0002038
follicular helper T (TFH1/2) cells	CL:0002038
immature NK T cell stage I	CL:0002039
immature NK T cell stage II	CL:0002040
NKT.44-NK1.1-.Th	CL:0002040
immature NK T cell stage III	CL:0002041
immature NK T cell stage IV	CL:0002042
CD34-positive, CD38-negative multipotent progenitor cell	CL:0002043
BM CD34-positive and CD38-negative cells	CL:0002043
Kit-positive, integrin beta7-high basophil mast progenitor cell	CL:0002044
fraction A pre-pro B cell	CL:0002045
early pro-B cell	CL:0002046
fraction B precursor B cell	CL:0002047
late pro-B cell	CL:0002048
fraction C precursor B cell	CL:0002049
fraction C' precursor B cell	CL:0002050
CD38-high pre-BCR positive cell	CL:0002051
fraction D precursor B cell	CL:0002052
fraction D pre-B cell	CL:0002052
CD22-positive, CD38-low small pre-B cell	CL:0002053
small pre-B cell	CL:0002053
fraction E immature B cell	CL:0002054
CD38-negative immature B cell	CL:0002055
fraction F mature B cell	CL:0002056
CD14-positive, CD16-negative classical monocyte	CL:0002057
CD16- monocyte	CL:0002057
CD16-negative monocyte	CL:0002057
CD14+CD16- classical monocytes	CL:0002057
Gr1-low non-classical monocyte	CL:0002058
CD8-alpha-positive thymic conventional dendritic cell	CL:0002059
CD8alpha-alpha-positive thymic conventional dendritic cell	CL:0002059
DC.8+.Th	CL:0002059
melanophage	CL:0002060
T-helper 9 cell	CL:0002061
Th9	CL:0002061
T(H)-9 cell	CL:0002061
T helper cells type 9	CL:0002061
pulmonary alveolar type 1 cell	CL:0002062
lung type 1 cells	CL:0002062
type I pneumocyte	CL:0002062
membranous pneumocytes	CL:0002062
type I alveolar epithelial cells	CL:0002062
small alveolar cells	CL:0002062
type 1 alveolar epithelial cells	CL:0002062
type 1 pneumocyte	CL:0002062
squamous alveolar lining cell	CL:0002062
type I alveolar cells	CL:0002062
squamous alveolar cell	CL:0002062
pulmonary alveolar type I cell	CL:0002062
AT1	CL:0002062
alveolar type 1 cell	CL:0002062
alveolar type 1 cells	CL:0002062
AT1 cells	CL:0002062
alveolar epithelial type 1 cells	CL:0002062
alveolar cells type 1	CL:0002062
pulmonary alveolar type 2 cell	CL:0002063
granular pneumocyte	CL:0002063
type II alveolar cell	CL:0002063
type 2 alveolocyte	CL:0002063
great alveolar cell	CL:0002063
type II alveolar epithelial cell	CL:0002063
type 2 pneumocyte	CL:0002063
type II alveolocyte	CL:0002063
type II pneumocyte	CL:0002063
cuboidal type II cell	CL:0002063
type 2 alveolar epithelial cell	CL:0002063
lung type 2 cell	CL:0002063
AT2	CL:0002063
alveolar type 2 cell	CL:0002063
Pulmonary Alveolar Type II Cell	CL:0002063
type II pneumocytes	CL:0002063
pneumocyte type II cells	CL:0002063
AEC2	CL:0002063
AEC2s	CL:0002063
alveolar cells type 2	CL:0002063
Alveolar epithelial type II cells	CL:0002063
AT2 cells	CL:0002063
pancreatic acinar cell	CL:0002064
acinar cell of pancreas	CL:0002064
PANCREAS ACINAR CELL	CL:0002064
Acinar cells	CL:0002064
acinar	CL:0002064
Feyrter cell	CL:0002066
Kultschitzky cell of bronchiole	CL:0002066
respiratory enterochromaffin cell	CL:0002066
bronchiolar Kulchitsky cell	CL:0002066
bronchial and bronchiolar epithelial cells	CL:0002066
type A enteroendocrine cell	CL:0002067
Purkinje myocyte	CL:0002068
Purkinje muscle cell	CL:0002068
Purkinje cell fiber	CL:0002068
myocytus conducens cardiacus	CL:0002068
purkinje fiber cells	CL:0002068
type II vestibular sensory cell	CL:0002069
type II hair cell	CL:0002069
type 2 vestibular sensory cell	CL:0002069
type 2 vestibular hair cell	CL:0002069
type I vestibular sensory cell	CL:0002070
type 1 vestibular hair cell	CL:0002070
type I hair cell	CL:0002070
type 1 vestibular sensory cell	CL:0002070
enterocyte of epithelium of large intestine	CL:0002071
vacuolar absorptive cell	CL:0002071
columnar cell of the colon	CL:0002071
nodal myocyte	CL:0002072
P cell	CL:0002072
cardiac pacemaker cell	CL:0002072
myocytus nodalis	CL:0002072
pacemaker excitatory cells	CL:0002072
Chattering neurons	CL:0002072
Chattering	CL:0002072
pacemaker	CL:0002072
PM	CL:0002072
pacemaker cell	CL:0002072
cardiac pacemaker	CL:0002072
transitional myocyte	CL:0002073
myocardial endocrine cell	CL:0002074
brush cell of tracheobronchial tree	CL:0002075
brush	CL:0002075
endo-epithelial cell	CL:0002076
ecto-epithelial cell	CL:0002077
meso-epithelial cell	CL:0002078
epithelial mesenchymal cell	CL:0002078
pancreatic ductal cell	CL:0002079
PANCREAS DUCTAL CELL	CL:0002079
ductal (D) cells	CL:0002079
hPDE	CL:0002079
pancreatic ductal cells	CL:0002079
pancreatic centro-acinar cell	CL:0002080
pancreatic centroacinar cell	CL:0002080
centroacinar cell of Langerhans	CL:0002080
type II cell of carotid body	CL:0002081
sheath cell of carotid body	CL:0002081
type II cell of adrenal medulla	CL:0002082
epiniphrine secreting cell of the adrenal medulla	CL:0002082
adrenergic chromaffin cell	CL:0002082
adrenal secreting cell of the adrenal medulla	CL:0002082
PNMT+ adrenergic subpopulation cells	CL:0002082
PNMT+ adrenergic chromaffin cells	CL:0002082
PNMT+ (adrenergic) cells	CL:0002082
adrenergic chromaffin cells	CL:0002082
type I cell of adrenal medulla	CL:0002083
noradrenergic chromaffin cell	CL:0002083
noradrenergic chromaffin cells	CL:0002083
Boettcher cell	CL:0002084
Bottcher cell	CL:0002084
Bottcher's cell	CL:0002084
Boettcher's cell	CL:0002084
Bottcher and Claudius cells	CL:0002084
tanycyte	CL:0002085
stretch cell	CL:0002085
tanycytes	CL:0002085
TNC	CL:0002085
specialized cardiac myocyte	CL:0002086
nongranular leukocyte	CL:0002087
agranular leukocyte	CL:0002087
interstitial cell of Cajal	CL:0002088
ICC	CL:0002088
intestinal pacemaker cell	CL:0002088
interstitial cells of Cajal	CL:0002088
group 2 innate lymphoid cell, mouse	CL:0002089
polar body	CL:0002090
primary polar body	CL:0002091
first polar body	CL:0002091
polocytus primarius	CL:0002091
bone marrow cell	CL:0002092
BM cells	CL:0002092
spleen and/or bone marrow cells	CL:0002092
BM	CL:0002092
bone marrow-resident cells	CL:0002092
bone marrow cells	CL:0002092
secondary polar body	CL:0002093
second polar body	CL:0002093
polocytus secundarius	CL:0002093
interstitial cell of ovary	CL:0002094
hilus cell of ovary	CL:0002095
hilar cell of ovary	CL:0002095
internodal tract myocyte	CL:0002096
cortical cell of adrenal gland	CL:0002097
adrenal cortex cell	CL:0002097
adrenocortical cell	CL:0002097
regular cardiac myocyte	CL:0002098
regular cardiac muscle fiber	CL:0002098
regular cardiac muscle cell	CL:0002098
type I cell of adrenal cortex	CL:0002099
epithelial cell of zona glomerulosa of adrenal gland	CL:0002099
regular interventricular cardiac myocyte	CL:0002100
CD38-positive naive B cell	CL:0002101
CD38+ naive B-lymphocyte	CL:0002101
CD38-positive naive B-cell	CL:0002101
CD38-positive naive B lymphocyte	CL:0002101
CD38+ naive B lymphocyte	CL:0002101
CD38-positive naive B-lymphocyte	CL:0002101
CD38+ naive B-cell	CL:0002101
CD38+ naive B cell	CL:0002101
CD38-negative naive B cell	CL:0002102
CD38- naive B-cell	CL:0002102
CD38- naive B cell	CL:0002102
CD38-negative naive B-lymphocyte	CL:0002102
CD38- naive B-lymphocyte	CL:0002102
CD38- naive B lymphocyte	CL:0002102
CD38-negative naive B-cell	CL:0002102
CD38-negative naive B lymphocyte	CL:0002102
IgG-positive double negative memory B cell	CL:0002103
IgG+ double negative memory B cell	CL:0002103
IgG-positive double negative memory B-cell	CL:0002103
IgG+ dn memory B lymphocyte	CL:0002103
IgG+ dn memory B-cell	CL:0002103
IgG-positive dn memory B cell	CL:0002103
IgG+ dn memory B-lymphocyte	CL:0002103
IgG+ double negative memory B lymphocyte	CL:0002103
IgG-positive dn memory B-lymphocyte	CL:0002103
IgG-positive double negative memory B lymphocyte	CL:0002103
IgG-positive dn memory B-cell	CL:0002103
IgG+ dn memory B cell	CL:0002103
IgG-positive dn memory B lymphocyte	CL:0002103
IgG-positive double negative memory B-lymphocyte	CL:0002103
IgG+ double negative memory B-lymphocyte	CL:0002103
IgG+ double negative memory B-cell	CL:0002103
IgG-negative double negative memory B cell	CL:0002104
IgG-negative dn memory B cell	CL:0002104
IgG- dn memory B-cell	CL:0002104
IgG- double negative memory B lymphocyte	CL:0002104
IgG-negative double negative memory B-lymphocyte	CL:0002104
IgG-negative dn memory B lymphocyte	CL:0002104
IgG-negative dn memory B-cell	CL:0002104
IgG-negative dn memory B-lymphocyte	CL:0002104
IgG- double negative memory B-cell	CL:0002104
IgG- double negative memory B cell	CL:0002104
IgG- dn memory B lymphocyte	CL:0002104
IgG- dn memory B cell	CL:0002104
IgG- dn memory B-lymphocyte	CL:0002104
IgG-negative double negative memory B lymphocyte	CL:0002104
IgG-negative double negative memory B-cell	CL:0002104
IgG- double negative memory B-lymphocyte	CL:0002104
IgG negative cells	CL:0002104
CD38-positive IgG memory B cell	CL:0002105
CD38+ IgG memory B lymphocyte	CL:0002105
CD38-positive IgG memory B-lymphocyte	CL:0002105
CD38-positive IgG memory B-cell	CL:0002105
CD38-positive IgG memory B lymphocyte	CL:0002105
CD38+ IgG memory B cell	CL:0002105
CD38+ IgG memory B-lymphocyte	CL:0002105
CD38+ IgG memory B-cell	CL:0002105
IgD-positive CD38-positive IgG memory B cell	CL:0002106
IgD+ CD38+ B cell	CL:0002106
IgD-negative CD38-positive IgG memory B cell	CL:0002107
CD38-negative IgG memory B cell	CL:0002108
B220-positive CD38-positive naive B cell	CL:0002109
B220-positive CD38-positive naive B-lymphocyte	CL:0002109
CD38+B220+ naive B lymphocyte	CL:0002109
B220+CD38+ naive B-lymphocyte	CL:0002109
B220+CD38+ naive B cell	CL:0002109
B220-positive CD38-positive naive B-cell	CL:0002109
B220+CD38+ naive B-cell	CL:0002109
CD38+B220+ naive B cell	CL:0002109
B220+CD38+ naive B lymphocyte	CL:0002109
B220-positive CD38-positive naive B lymphocyte	CL:0002109
CD38+B220+ naive B-lymphocyte	CL:0002109
CD38+B220+ naive B-cell	CL:0002109
B220-low CD38-positive naive B cell	CL:0002110
CD38-negative unswitched memory B cell	CL:0002111
CD38-negative unswitched memory B-lymphocyte	CL:0002111
CD38- unswitched memory B-cell	CL:0002111
CD38-negative unswitched memory B lymphocyte	CL:0002111
CD38-negative unswitched memory B-cell	CL:0002111
CD38- unswitched memory B-lymphocyte	CL:0002111
CD38- unswitched memory B lymphocyte	CL:0002111
CD38- unswitched memory B cell	CL:0002111
B220-positive CD38-negative unswitched memory B cell	CL:0002112
B220-low CD38-negative unswitched memory B cell	CL:0002113
CD38-positive unswitched memory B cell	CL:0002114
CD38+ unswitched memory B-lymphocyte	CL:0002114
CD38+ unswitched memory B cell	CL:0002114
CD38-positive unswitched memory B lymphocyte	CL:0002114
CD38+ unswitched memory B-cell	CL:0002114
CD38-positive unswitched memory B-cell	CL:0002114
CD38+ unswitched memory B lymphocyte	CL:0002114
CD38-positive unswitched memory B-lymphocyte	CL:0002114
B220-positive CD38-positive unswitched memory B cell	CL:0002115
B220-low CD38-positive unswitched memory B cell	CL:0002116
IgG-negative class switched memory B cell	CL:0002117
IgG- class switched memory B-cell	CL:0002117
IgG-negative class switched memory B lymphocyte	CL:0002117
IgG-negative class switched memory B-cell	CL:0002117
IgG- class switched memory B cell	CL:0002117
IgG-negative class switched memory B-lymphocyte	CL:0002117
IgG- class switched memory B lymphocyte	CL:0002117
IgG- class switched memory B-lymphocyte	CL:0002117
CD38-negative IgG-negative class switched memory B cell	CL:0002118
CD38-positive IgG-negative class switched memory B cell	CL:0002119
CD24-positive CD38-negative IgG-negative class switched memory B cell	CL:0002120
CD24-negative CD38-negative IgG-negative class switched memory B cell	CL:0002121
B220-positive CD38-positive IgG-negative class switched memory B cell	CL:0002122
B220-low CD38-positive IgG-negative class switched memory B cell	CL:0002123
CD27-positive gamma-delta T cell	CL:0002124
gd27-positive	CL:0002124
gammadelta27-positive	CL:0002124
CD27-negative gamma-delta T cell	CL:0002125
gammadelta-17 cells	CL:0002125
CD25-positive, CD27-positive immature gamma-delta T cell	CL:0002126
innate effector T cell	CL:0002127
Tc17 cell	CL:0002128
Tc17 T-lymphocyte	CL:0002128
Tc17 CD8+ T cell	CL:0002128
Tc17 T lymphocyte	CL:0002128
Tc17 T-cell	CL:0002128
Tc17 T cell	CL:0002128
Th17 CD8-positive T cell	CL:0002128
CD8-positive Th17 cell	CL:0002128
Th17 non-TFH CD8-positive T cell	CL:0002128
regular atrial cardiac myocyte	CL:0002129
atrial cardiac muscle cell	CL:0002129
atrial myocyte	CL:0002129
regular cardiac muscle cell of atrium	CL:0002129
regular atrial cardiac muscle fiber	CL:0002129
aCM	CL:0002129
atrial muscle cell	CL:0002129
regular interatrial cardiac myocyte	CL:0002130
regular ventricular cardiac myocyte	CL:0002131
regular cardiac muscle cell of ventricle	CL:0002131
ventricular myocyte	CL:0002131
regular ventricular cardiac muscle fiber	CL:0002131
ventricular	CL:0002131
ventricular cardiac myocytes	CL:0002131
stromal cell of ovary	CL:0002132
ovarian stromal cell	CL:0002132
stromal cell of ovarian cortex	CL:0002133
stromal cell of ovarian medulla	CL:0002134
nonkeratinized cell of epidermis	CL:0002135
type II cell of adrenal cortex	CL:0002136
type II cortical cell of adrenal gland	CL:0002136
type III cell of adrenal cortex	CL:0002137
endothelial cell of lymphatic vessel	CL:0002138
LEC	CL:0002138
lymphatic endothelial cell	CL:0002138
Endo_lymphatic	CL:0002138
Lymphatic and blood vascular endothelial cells	CL:0002138
lymphatic and blood vascular ECs	CL:0002138
lymphatic ECs	CL:0002138
lymphatic versus blood vascular ECs	CL:0002138
lymphatic endothelial	CL:0002138
lymphatic endothelial cells	CL:0002138
lymphatic and blood vascular endothelial	CL:0002138
LymphEndo	CL:0002138
lymphatic cells	CL:0002138
endothelial cell of vascular tree	CL:0002139
vascular endothelial cell	CL:0002139
vascular endothelial cells	CL:0002139
VasEndo	CL:0002139
VECs	CL:0002139
endothelial	CL:0002139
vascular cell	CL:0002139
VEC	CL:0002139
vascular VEC	CL:0002139
ECs	CL:0002139
glial and vascular endothelial cells	CL:0002139
skin sebocyte	CL:0002140
acinar cell of skin sebaceous gland	CL:0002140
active chief cell of parathyroid gland	CL:0002141
dark cell of eccrine sweat gland	CL:0002142
dark chief cell of parathyroid gland	CL:0002143
capillary endothelial cell	CL:0002144
CEC	CL:0002144
CapEC	CL:0002144
endothelial cells	CL:0002144
ECs	CL:0002144
capillary ECs	CL:0002144
multiciliated columnar cell of tracheobronchial tree	CL:0002145
ciliated columnar cell of tracheobronchial tree	CL:0002145
clear cell of eccrine sweat gland	CL:0002146
clear chief cell of parathyroid gland	CL:0002147
clear chief cell of parathyroid cell	CL:0002147
dental pulp cell	CL:0002148
dental pulp cells	CL:0002148
hDPCs	CL:0002148
epithelial cell of uterus	CL:0002149
epithelioid macrophage	CL:0002150
epitheloid macrophage	CL:0002150
epithelioid histocyte	CL:0002150
late promyelocyte	CL:0002151
columnar cell of endocervix	CL:0002152
corneocyte	CL:0002153
cornified cells	CL:0002153
corneocytes	CL:0002153
early promyelocyte	CL:0002154
echinocyte	CL:0002155
burr cell	CL:0002155
endosteal cell	CL:0002157
bone lining cells	CL:0002157
external epithelial cell of tympanic membrane	CL:0002158
general ecto-epithelial cell	CL:0002159
basal external epithelial cell of tympanic membrane	CL:0002160
superficial external epithelial cell of tympanic membrane	CL:0002161
internal epithelial cell of tympanic membrane	CL:0002162
internal pillar cell of cochlea	CL:0002163
inner pillar cell	CL:0002163
inner and outer pillared cells	CL:0002163
IPC	CL:0002163
inner pillar cells	CL:0002163
external pillar cell of cochlea	CL:0002164
outer pillar cell	CL:0002164
inner and outer pillared cells	CL:0002164
OPC	CL:0002164
outer pillar cells	CL:0002164
phalangeal cell	CL:0002165
epithelial cell of Malassez	CL:0002166
epithelial debris of Malassez	CL:0002166
epithelial cell rests of Malassez	CL:0002166
olfactory epithelial cell	CL:0002167
olfactory epithelial cells	CL:0002167
border cell of cochlea	CL:0002168
border cells	CL:0002168
basal cell of olfactory epithelium	CL:0002169
basal cells	CL:0002169
keratinized cell of the oral mucosa	CL:0002170
globose cell of olfactory epithelium	CL:0002171
blastema cell of olfactory epithelium	CL:0002171
globose basal cells	CL:0002171
GBCs	CL:0002171
interdental cell of cochlea	CL:0002172
interdental cell	CL:0002172
IdC	CL:0002172
interdental cells	CL:0002172
extraglomerular mesangial cell	CL:0002173
Goormaghtigh cell	CL:0002173
polar cushion cells	CL:0002173
follicular cell of ovary	CL:0002174
OVARY - follicle cells	CL:0002174
primary follicular cell of ovary	CL:0002175
secondary follicular cell of ovary	CL:0002176
folliculostellate cell of pars distalis of adenohypophysis	CL:0002177
folliculostellate cell of pars anterior of adenohypophysis	CL:0002177
epithelial cell of stomach	CL:0002178
gastric epithelial cells	CL:0002178
gastric epithelial	CL:0002178
epithelial cells	CL:0002178
foveolar cell of stomach	CL:0002179
surface mucosal cell of stomach	CL:0002179
mucous cell of stomach	CL:0002180
mucous neck cell of gastric gland	CL:0002181
mucus neck cell of gastric gland	CL:0002181
stem cell of gastric gland	CL:0002183
basal proper cell of olfactory epithelium	CL:0002184
horizontal basal cells	CL:0002184
HBCs	CL:0002184
basal cell of epidermis	CL:0002187
BKC	CL:0002187
Basal keratinocyte	CL:0002187
basal progenitors	CL:0002187
basal cells	CL:0002187
basal keratinocytes	CL:0002187
BasalKera	CL:0002187
basal cell	CL:0002187
basal progenitor	CL:0002187
epidermal stem and progenitor cells	CL:0002187
ESPCs	CL:0002187
glomerular endothelial cell	CL:0002188
granular cell of epidermis	CL:0002189
squamous cell of epidermis	CL:0002190
granulocytopoietic cell	CL:0002191
metamyelocyte	CL:0002192
myelocyte	CL:0002193
Myelocytes	CL:0002193
myelocyte cells	CL:0002193
monopoietic cell	CL:0002194
hepatic stem cell	CL:0002195
hepatic oval stem cell	CL:0002196
hepatic oval cell	CL:0002196
hepatic progenitor cell	CL:0002196
liver progenitor cell	CL:0002196
oval cell	CL:0002196
LPCs	CL:0002196
human hepatic progenitor cells	CL:0002196
hHepPCs	CL:0002196
inactive chief cell of parathyoid gland	CL:0002197
oncocyte	CL:0002198
oxyphil	CL:0002198
oxyphil cell of parathyroid gland	CL:0002199
oxyphil cell of thyroid	CL:0002200
Askanazy cells	CL:0002200
Hurthle cells	CL:0002200
renal beta-intercalated cell	CL:0002201
type B intercalated cell	CL:0002201
type B-IC	CL:0002201
epithelial cell of tracheobronchial tree	CL:0002202
brush cell of epithelium proper of large intestine	CL:0002203
brush cell of large intestine	CL:0002203
tuft cell of epithelium of large intestine	CL:0002203
tuft cell of large intestine	CL:0002203
brush cell	CL:0002204
caveolated cell	CL:0002204
fibrillovesicular cell	CL:0002204
multivesicular cell	CL:0002204
tuft cell	CL:0002204
tuft (brush) cell	CL:0002204
TC	CL:0002204
brush cell of lobular bronchiole	CL:0002205
brush cell of terminal bronchiole	CL:0002206
brush cell of trachea	CL:0002207
brush cell of bronchus	CL:0002208
intermediate epitheliocyte	CL:0002209
undifferentiated columnar cell of tracheobronchial tree	CL:0002209
red muscle cell	CL:0002210
red muscle fiber	CL:0002210
oxidative muscle fiber	CL:0002210
type I muscle cell	CL:0002211
type I muscle fiber	CL:0002211
slow twitch muscle cell	CL:0002211
type 1 muscle fiber	CL:0002211
slow twitch muscle fiber	CL:0002211
slow twitch fiber	CL:0002211
slow-twitch muscle fiber	CL:0002211
type 1 muscle cell	CL:0002211
type I fibers	CL:0002211
type II muscle cell	CL:0002212
type 2 muscle fiber	CL:0002212
type 2 muscle cell	CL:0002212
type II muscle fiber	CL:0002212
type II fibers	CL:0002212
white muscle cell	CL:0002213
type IIa muscle cell	CL:0002214
fatigue resistant fast twitch muscle cell	CL:0002214
type IIa muscle fiber	CL:0002214
type 2a muscle cell	CL:0002214
type 2a muscle fiber	CL:0002214
fast twitch A	CL:0002214
type I, IIa, and IIb fibers	CL:0002214
type I and IIa fibers	CL:0002214
type IIa fibers	CL:0002214
type IIb muscle cell	CL:0002215
type 2b muscle fiber	CL:0002215
type 2b muscle cell	CL:0002215
type IIb muscle fiber	CL:0002215
type I, IIa, and IIb fibers	CL:0002215
type IIb fibers	CL:0002215
intermediate muscle cell	CL:0002216
intermediate trophoblast cell	CL:0002217
immature dendritic epithelial T cell precursor	CL:0002218
immature DEC precursor	CL:0002218
immature DETC precursor	CL:0002218
anchoring trophoblast	CL:0002219
interstitial cell of pineal gland	CL:0002220
keratinized squamous cell of esophagus	CL:0002221
vertebrate lens cell	CL:0002222
anterior lens cell	CL:0002223
anterior cells	CL:0002223
anterior lens epithelial cells	CL:0002223
lens epithelial cell	CL:0002224
lens epithelial and fibre cells	CL:0002224
Lens epithelial cells	CL:0002224
LECs	CL:0002224
secondary lens fiber	CL:0002225
secondary lens fibre	CL:0002225
non-nucleated secondary lens fiber	CL:0002226
non-nucleated secondary lens fibre	CL:0002226
nucleated secondary lens fiber	CL:0002227
nucleated secondary lens fibre	CL:0002227
primary lens fiber	CL:0002228
primary lens fibre	CL:0002228
primary lens fibre cells	CL:0002228
light chief cell of parathyroid gland	CL:0002229
epithelial cell of prostate	CL:0002231
prostate epithelial cell	CL:0002231
epithelial cells	CL:0002231
prostate epithelial cells	CL:0002231
epithelial or endothelial cells	CL:0002231
epithelial-endothelial cell	CL:0002231
epithelial cell	CL:0002231
OEx	CL:0002231
epithelial cell of prostatic duct	CL:0002232
ductal epithelial cell of prostate	CL:0002232
epithelial cell of prostatic acinus	CL:0002233
acinar epithelial cell of prostate	CL:0002233
basal cell of prostatic acinus	CL:0002234
basal epithelial cell of prostatic acinus	CL:0002234
basal prostatic cells	CL:0002234
luminal cell of prostatic acinus	CL:0002235
basal epithelial cell of prostatic duct	CL:0002236
luminal epithelial cell of prostatic duct	CL:0002237
male gonocyte	CL:0002238
testis primordial germ cell	CL:0002238
male primordial germ cell	CL:0002238
prospermatogonia	CL:0002238
ooblast	CL:0002239
ovary primordial germ cell	CL:0002239
ovigerm	CL:0002239
marrow fibroblast	CL:0002240
pulmonary interstitial fibroblast	CL:0002241
pulmonary myofibroblast	CL:0002241
pulmonary septal cell	CL:0002241
pulmonary myofibroblasts	CL:0002241
nucleate cell	CL:0002242
smooth muscle cell of sphincter of pupil	CL:0002243
smooth muscle fiber of sphincter of pupil	CL:0002243
squamous cell of ectocervix	CL:0002244
ectocervical squamous cell	CL:0002244
peripheral blood stem cell	CL:0002246
PBSC	CL:0002246
PBPCs	CL:0002246
Peripheral blood progenitor cells	CL:0002246
pleural macrophage	CL:0002247
pluripotent stem cell	CL:0002248
Pluripotent Stem Cells	CL:0002248
adult pluripotent stem cells	CL:0002248
ASCs	CL:0002248
hPSCs	CL:0002248
Pluripotent stem (PS) cells	CL:0002248
PS cells	CL:0002248
PSC	CL:0002248
PSCs	CL:0002248
human pluripotent stem cells	CL:0002248
pluripotent	CL:0002248
pluripotent cells	CL:0002248
Embryonic or pluripotent stem cell	CL:0002248
Embryonic and pluripotent SCs	CL:0002248
primitive cardiac myocyte	CL:0002249
intestinal crypt stem cell	CL:0002250
stem cell of intestinal crypt of Lieberkuhn	CL:0002250
intestinal stem cells	CL:0002250
Lgr5+ stem cells	CL:0002250
intestinal stem cell	CL:0002250
LGR5-positive stem cells	CL:0002250
stem cells	CL:0002250
stem cell	CL:0002250
ISCs	CL:0002250
epithelial cell of alimentary canal	CL:0002251
epithelial cell of esophagus	CL:0002252
epithelial cell of large intestine	CL:0002253
epithelial cell of small intestine	CL:0002254
stromal cell of endometrium	CL:0002255
endometrial stromal fibroblast	CL:0002255
endometrial stromal cell	CL:0002255
endometrial stromal fibroblasts	CL:0002255
EmS cells	CL:0002255
menstrual stromal cells	CL:0002255
MenSCs	CL:0002255
endometrial stromal cells	CL:0002255
supporting cell of carotid body	CL:0002256
carotid body sustentacular cell	CL:0002256
epithelial cell of thyroid gland	CL:0002257
thyroid follicular cell	CL:0002258
thyroid gland follicular cell	CL:0002258
follicular cell of thyroid gland	CL:0002258
principal cell of thyroid gland	CL:0002258
neuroepithelial stem cell	CL:0002259
epithelial cell of parathyroid gland	CL:0002260
endothelial cell of viscerocranial mucosa	CL:0002261
endothelial cell of sinusoid	CL:0002262
transitional cell of parathyroid gland	CL:0002263
type A cell of stomach	CL:0002264
type D cell of colon	CL:0002265
colon D-cell	CL:0002265
